match_id,winner_slot,venue_avg_score,chasing_win_rate_venue,team1_win_rate_at_venue,team2_win_rate_at_venue,team1_total_wins_against_team2,team2_total_wins_against_team1,team1_wins_against_team2_last_three,team2_wins_against_team1_last_three,team1_form_last_5,team2_form_last_5,team1_last_5_avg_score,team1_last_5_runs_conceded,team2_last_5_avg_score,team2_last_5_runs_conceded,team1_chasing_win_rate,team1_defending_win_rate,team2_chasing_win_rate,team2_defending_win_rate,toss_winner_slot
1254081,0,172.0,0.0,0.0,0.0,11.0,11.0,2.0,1.0,2,2,164.2,174.0,145.8,141.8,0.5535714285714286,0.4117647058823529,0.5862068965517241,0.54,0
1254082,0,147.5,0.5,1.0,0.0,1.0,2.0,1.0,2.0,1,2,153.8,166.6,162.4,162.4,0.582089552238806,0.5,0.5,0.375,0
1254083,1,150.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1,4,135.2,136.6,165.4,169.4,1.0,0.0,0.5076923076923077,0.48,0
1254084,0,171.75,1.0,1.0,1.0,12.0,18.0,1.0,2.0,5,3,175.8,148.8,148.4,144.0,0.6595744680851063,0.6153846153846154,0.5932203389830508,0.54,0
1254085,1,187.3333333333333,1.0,0.0,0.0,6.0,7.0,2.0,1.0,2,1,155.0,164.2,146.2,150.2,0.5535714285714286,0.4117647058823529,0.5428571428571428,0.4,0
1254086,0,153.0,0.5,0.5,0.5,0.0,1.0,0.0,1.0,2,3,149.8,144.2,164.2,163.2,1.0,0.0,0.5294117647058824,0.375,0
1254104,1,157.6060606060606,0.2777777777777778,0.6666666666666666,0.375,12.0,19.0,1.0,2.0,4,3,198.0,171.4,161.8,159.2,0.6595744680851063,0.6153846153846154,0.6,0.54,1
1254087,0,0.0,0.0,0.0,0.0,13.0,14.0,3.0,0.0,3,1,164.6,176.6,156.2,167.4,0.5,0.48,0.582089552238806,0.5,1
1254111,1,157.26470588235293,0.2777777777777778,0.1428571428571428,0.0,0.0,1.0,0.0,1.0,2,2,169.0,167.8,144.0,138.0,0.5535714285714286,0.4117647058823529,1.0,0.0,0
1254105,0,158.02857142857144,0.2631578947368421,0.6,0.3333333333333333,3.0,3.0,1.0,1.0,1,3,150.6,164.4,158.0,157.4,0.5277777777777778,0.4,0.5555555555555556,0.375,1
1254096,0,93.0,0.0,0.0,1.0,22.0,6.0,3.0,0.0,2,2,159.0,163.0,141.8,145.0,0.6,0.54,0.582089552238806,0.5,0
1254113,0,164.55555555555554,0.5833333333333334,0.4,0.25,9.0,17.0,1.0,2.0,2,4,142.2,162.2,191.6,170.0,0.5,0.4615384615384615,0.6595744680851063,0.6226415094339622,0
1254107,1,164.1315789473684,0.6153846153846154,0.0,0.4,0.0,1.0,0.0,1.0,2,1,156.6,150.8,150.0,162.2,0.5,0.0,0.5277777777777778,0.3846153846153846,0
1254097,1,125.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,3,3,158.2,156.8,177.4,166.8,0.5555555555555556,0.375,0.5535714285714286,0.4117647058823529,0
1254098,0,129.16666666666666,0.5,1.0,0.0,8.0,15.0,1.0,2.0,3,4,133.2,132.0,179.0,160.8,0.5882352941176471,0.5,0.6666666666666666,0.6226415094339622,1
1254108,1,157.43055555555554,0.2631578947368421,0.4444444444444444,0.3333333333333333,10.0,17.0,1.0,1.0,1,2,137.2,158.2,162.6,167.2,0.5,0.4615384615384615,0.6,0.54,0
1254100,0,156.90540540540542,0.25,0.25,0.5454545454545454,7.0,7.0,2.0,1.0,3,0,166.2,161.4,149.8,163.2,0.543859649122807,0.4117647058823529,0.5135135135135135,0.3846153846153846,1
